,std_dt,symbol,issues_suspended_from_trading_reason
547,20040910,A001580,
548,20050415,A001580,사유미상
549,20050504,A001580,
550,20050627,A001580,사유미상
551,20050727,A001580,
552,19991228,A001600,
553,20011206,A001600,사유미상
554,20011224,A001600,
555,20090401,A001600,자본잠식(50%이상)
556,20090402,A001600,
557,20090717,A001600,불성실공시법인지정
558,20090720,A001600,
559,20091105,A001600,"주식의 병합, 분할 등 전자등록 변경, 말소"
560,20091203,A001600,
561,20100323,A001600,풍문등관련주가및거래량급변
562,20100324,A001600,"감사의견거절(발행 ELW 포함), 기타공익과투자자보호및시장관리상"
563,20100406,A001600,
564,19991228,A001610,
565,19991228,A001620,
566,20070425,A001620,사유미상
567,20070502,A001620,
568,20090925,A001620,불성실공시법인지정
569,20090928,A001620,
570,19991228,A001630,
571,20000510,A001630,사유미상
572,20000515,A001630,
573,20011108,A001630,사유미상
574,20011211,A001630,
575,20131031,A001630,"주식의 병합, 분할 등 전자등록 변경, 말소"
576,20131206,A001630,
577,19991228,A001670,
578,20020221,A001670,사유미상
579,20020329,A001670,
580,20050211,A001670,사유미상
581,20050419,A001670,
582,19991228,A001680,
583,20010423,A001680,사유미상
584,20010507,A001680,
585,20050719,A001680,사유미상
586,20050805,A001680,
587,19991228,A001690,
588,20011226,A001690,사유미상
589,20020121,A001690,
590,19991228,A001700,
591,19991228,A001720,
592,19991228,A001740,
593,20031023,A001740,사유미상
594,20031111,A001740,
595,20041216,A001740,사유미상
596,20050104,A001740,
597,19991228,A001750,
598,19991228,A001770,
599,20020318,A001770,사유미상
600,20020322,A001770,
601,20200110,A001770,기타공익과투자자보호및시장관리상
602,20200325,A001770,
603,19991228,A001780,
604,20020402,A001780,사유미상
605,20020408,A001780,
606,19991228,A001790,
607,20110418,A001790,"주식의 병합, 분할 등 전자등록 변경, 말소"
608,20110504,A001790,
609,19991228,A001800,
610,20170530,A001800,"주식의 병합, 분할 등 전자등록 변경, 말소"
611,20170707,A001800,
612,19991228,A001810,
613,20031211,A001810,사유미상
614,20031212,A001810,
615,20060707,A001810,사유미상
616,20060721,A001810,
617,19991228,A001820,
618,20000420,A001820,사유미상
619,20000424,A001820,
620,20040315,A001820,사유미상
621,20040316,A001820,
622,19991228,A001830,
623,20051222,A001830,사유미상
624,20060105,A001830,
625,20070427,A001830,사유미상
626,20070522,A001830,
627,19991228,A001840,
628,20031224,A001840,사유미상
629,20031229,A001840,
630,20130826,A001840,단기과열 지정
631,20130827,A001840,
632,19991228,A001880,
633,20131220,A001880,"주식의 병합, 분할 등 전자등록 변경, 말소"
634,20140110,A001880,
635,19991228,A001910,
636,19991228,A001920,
637,20000113,A001920,사유미상
638,20000215,A001920,
639,20020325,A001920,사유미상
640,20020328,A001920,
641,19991228,A001930,
642,19991228,A001940,
643,20180430,A001940,"주식의 병합, 분할 등 전자등록 변경, 말소"
644,20180504,A001940,
645,19991228,A001950,
646,20060215,A001950,사유미상
647,20060216,A001950,
648,20090522,A001950,회생절차개시신청(발행 ELW 포함)
649,20090619,A001950,
650,20090925,A001950,자본전액잠식
651,20091006,A001950,
652,19991228,A001980,
653,20030813,A001980,사유미상
654,20030814,A001980,
655,20030822,A001980,사유미상
656,20030908,A001980,
657,20040107,A001980,사유미상
658,20040524,A001980,
659,19991228,A001990,
660,19991228,A002000,
661,20050401,A002000,사유미상
662,20050404,A002000,
663,20051004,A002000,사유미상
664,20051005,A002000,
665,20120402,A002000,주식분포상황요건미비
666,20120403,A002000,
667,20181108,A002000,기타공익과투자자보호
668,20181204,A002000,
669,19991228,A002010,
670,19991228,A002020,
671,20091229,A002020,"주식의 병합, 분할 등 전자등록 변경, 말소"
672,20100201,A002020,
673,19991228,A002030,
674,20130927,A002030,"주식의 병합, 분할 등 전자등록 변경, 말소"
675,20131106,A002030,
676,19991228,A002050,
677,20011206,A002050,사유미상
678,20011224,A002050,
679,20030227,A002050,사유미상
680,20030314,A002050,
681,20030326,A002050,사유미상
682,20030428,A002050,
683,19991228,A002070,
684,20050103,A002070,사유미상
685,20050104,A002070,
686,20100428,A002070,"주식의 병합, 분할 등 전자등록 변경, 말소"
687,20100513,A002070,
688,20190730,A002070,투자경고 및 위험(주식)
689,20190731,A002070,
690,20200203,A002070,"주식의 병합, 분할 등 전자등록 변경, 말소"
691,20200206,A002070,
692,20200803,A002070,"주식의 병합, 분할 등 전자등록 변경, 말소"
693,20200821,A002070,
694,19991228,A002080,
695,20001122,A002080,사유미상
696,20001222,A002080,
697,19991228,A002100,
698,20050421,A002100,사유미상
699,20050428,A002100,
700,20070417,A002100,사유미상
701,20070502,A002100,
702,19991228,A002130,
703,20001109,A002130,사유미상
704,20001110,A002130,
705,20011109,A002130,사유미상
706,20011115,A002130,
707,19991228,A002140,
708,20030414,A002140,사유미상
709,20030507,A002140,
710,20130425,A002140,"주식의 병합, 분할 등 전자등록 변경, 말소"
711,20130515,A002140,
712,19991228,A002150,
713,20130828,A002150,기타공익과투자자보호및시장관리상
714,20130904,A002150,
715,19991228,A002170,
716,19991228,A002180,
717,20020207,A002180,사유미상
718,20020304,A002180,
719,20020305,A002180,사유미상
720,20020308,A002180,
721,19991228,A002190,
722,19991228,A002200,
723,19991228,A002210,
724,20140826,A002210,단기과열 지정
725,20140827,A002210,
726,19991228,A002220,
727,20021227,A002220,사유미상
728,20030217,A002220,
729,20190419,A002220,"주식의 병합, 분할 등 전자등록 변경, 말소"
730,20190424,A002220,
731,19991228,A002230,
732,19991228,A002240,
733,20010402,A002240,사유미상
734,20010403,A002240,
735,20010426,A002240,사유미상
736,20010430,A002240,
737,20020515,A002240,사유미상
738,20020516,A002240,
739,20030915,A002240,사유미상
740,20030916,A002240,
741,19991228,A002250,
742,20121029,A002250,투자경고 및 위험
743,20121030,A002250,
744,20180403,A002250,주식분포상황요건미비
745,20180404,A002250,
746,20190318,A002250,기타공익과투자자보호및시장관리상
747,20190401,A002250,기타공익과투자자보호
748,20190520,A002250,
749,19991228,A002270,
750,20170928,A002270,"주식의 병합, 분할 등 전자등록 변경, 말소"
751,20171030,A002270,
752,19991228,A002290,
753,20140428,A002290,"주식의 병합, 분할 등 전자등록 변경, 말소"
754,20140516,A002290,
755,19991228,A002300,
756,20200629,A002300,"주식의 병합, 분할 등 전자등록 변경, 말소"
757,20200713,A002300,
758,19991228,A002310,
759,19991228,A002320,
760,19991228,A002340,
761,19991228,A002350,
762,19991228,A002360,
763,20010119,A002360,사유미상
764,20010220,A002360,
765,19991228,A002380,
766,20040226,A002380,사유미상
767,20040227,A002380,
768,20191227,A002380,"주식의 병합, 분할 등 전자등록 변경, 말소"
769,20200121,A002380,
770,19991228,A002390,
771,20030428,A002390,사유미상
772,20030502,A002390,
773,19991228,A002410,
774,20041228,A002410,사유미상
775,20041229,A002410,
776,20111021,A002410,회생절차개시신청(발행 ELW 포함)
777,20111109,A002410,
778,20120330,A002410,풍문등관련주가및거래량급변
779,20120410,A002410,
780,20120425,A002410,불성실공시법인지정
781,20120426,A002410,
782,20120611,A002410,기타공익과투자자보호및시장관리상
783,20140707,A002410,
784,20171116,A002410,"주식의 병합, 분할 등 전자등록 변경, 말소"
785,20171206,A002410,
786,19991228,A002420,
787,20021024,A002420,사유미상
788,20021025,A002420,
789,20021115,A002420,사유미상
790,20021119,A002420,
791,20150126,A002420,단기과열 지정
792,20150127,A002420,
793,20200818,A002420,기타공익과투자자보호및시장관리상
794,19991228,A002440,
795,19991228,A002450,
796,20020617,A002450,사유미상
797,20020708,A002450,
798,19991228,A002460,
799,19991228,A002530,
