,std_dt,ticker,company_name
2011,19991228,A032421,터보테크1
2012,20000321,A032500,케이엠더블유
2013,19991228,A032540,태진미디어
2014,20050121,A032540,TJ미디어
2015,19991228,A032560,황금에스티
2016,19991228,A032570,케이디이컴
2017,20081203,A032570,카라반케이디이
2018,19991228,A032580,씨.엔.아이
2019,20050414,A032580,피델릭스
2020,19991228,A032590,두일통신
2021,20070315,A032590,엔토리노
2022,19991228,A032600,한국디지탈
2023,20031021,A032600,애드모바일
2024,19991228,A032610,에스오케이
2025,19991228,A032620,메디다스
2026,20020708,A032620,UBCARE
2027,20041222,A032620,이수유비케어
2028,20080520,A032620,유비케어
2029,19991228,A032624,메디다스4
2030,20000921,A032640,LG텔레콤
2031,20100714,A032640,LG유플러스
2032,19991228,A032680,비티씨정보
2033,20140417,A032680,소프트센
2034,20020422,A032710,LG카드
2035,19991228,A032750,삼진
2036,19991228,A032780,테라
2037,19991228,A032790,지이티
2038,20040719,A032790,에스인포텍
2039,20100421,A032790,지아이블루
2040,20150416,A032790,엠젠
2041,20160121,A032790,엠젠플러스
2042,19991228,A032800,아펙스
2043,20030519,A032800,네모
2044,20040119,A032800,디지웨이브텍
2045,20070720,A032800,나래윈
2046,20090304,A032800,G러닝
2047,20140416,A032800,에듀컴퍼니
2048,20141027,A032800,판타지오
2049,19991228,A032801,아펙스1
2050,19991228,A032802,아펙스2
2051,20000622,A032820,우리기술
2052,20100512,A032830,삼성생명
2053,19991228,A032850,비트컴퓨터
2054,19991228,A032860,마담포라
2055,20071116,A032860,아이니츠
2056,20101102,A032860,자원
2057,20140116,A032860,스틸앤리소시즈
2058,20160429,A032860,GMR 머티리얼즈
2059,20191209,A032860,글로스퍼랩스
2060,19991228,A032930,에이스테크
2061,20100325,A032930,에이스앤파트너스
2062,19991228,A032940,원익
2063,19991228,A032960,동일기연
2064,19991228,A032980,서울일렉트론
2065,20060328,A032980,BIT네트웍스
2066,20060804,A032980,엔디코프
2067,20090204,A032980,폴리비전
2068,20160419,A032980,바이온
2069,20010510,A033020,세아메탈
2070,19991228,A033030,대양이앤씨
2071,20080423,A033030,지오엠씨
2072,19991228,A033040,세림아이텍
2073,19991228,A033050,정문정보
2074,20040420,A033050,제이엠아이
2075,19991228,A033070,삼한콘트롤스
2076,19991228,A033100,제룡산업
2077,20111128,A033100,제룡전기
2078,19991228,A033110,이디
2079,20190426,A033110,코너스톤네트웍스
2080,19991228,A033130,디지틀조선
2081,19991228,A033160,엠케이전자
2082,20101126,A033170,시그네틱스
2083,19991228,A033180,필룩스
2084,19991228,A033190,서능상사
2085,20011004,A033190,VON
2086,20040719,A033190,엘켐
2087,20070423,A033190,폴켐
2088,19991228,A033200,모아텍
2089,19991228,A033210,삼화기연
2090,19991228,A033220,남성알미늄
2091,19991228,A033230,인성정보
