ticker,init_listed_dt
A134790,20110125
A223250,20200522
A006370,19881010
A000040,19760525
A148250,20131224
A347770,20200918
A234100,20151229
A014940,20011221
A005710,19930614
A056730,20020102
A001290,19880923
A009300,20000714
A035620,19990813
A090470,20070110
A214270,20150325
A065710,20020712
A217820,20151207
A033130,19970806
A052790,20010810
A000650,19770623
A211270,20160304
A014710,20120629
A069510,20031112
A002070,19760713
A027970,19960703
A124560,20191210
A006220,19721228
A057540,20070919
A119830,20101026
A094360,20131029
A227840,20151023
A038680,20000425
A066130,20030207
A237820,20200312
A012280,19900125
A007280,19891113
A002600,19761223
A010960,20020712
A014580,19910307
A307930,20190523
A297890,20200622
A013310,19970930
A069920,20071205
A073570,20040102
A026150,19970806
A002140,19910114
A008290,19970718
A012160,20100125
A002710,19841221
A065150,20070718
A092440,20071030
A005750,19921223
A079970,20100601
A192250,20140428
A036710,19991229
A040420,20000728
A042600,20020927
A256150,20190905
A023000,20110722
A039830,20001229
A133750,20151218
A065060,20020524
A124500,20130701
A008250,19881021
A019440,20110601
A089530,20111111
A053700,20011102
A119850,20131002
A058630,20081219
A250000,20170608
A069110,20031010
A225330,20160407
A140070,20170125
A242040,20160907
A019770,20110624
A036010,20020628
A036090,19991208
A290740,20180828
A318410,20200921
A198440,20140813
A047770,20010914
A258830,20180529
A018680,20000816
A014130,19890725
A058430,20020816
A069540,20040211
A010820,19890510
A264660,20180125
A048910,20010727
A038530,20000607
A065560,20030627
A010690,19940114
A043650,20000822
A071670,20090417
A011330,19891214
A049480,20010105
A015230,19890725
A194370,20160204
A019660,19920528
A226440,20151006
A064240,20030609
A006140,19931130
A056360,20011130
A050760,20020514
A306620,20181031
A012600,19900710
A001380,19760629
A006050,19940930
A060310,20020419
A040160,20000825
A221610,20160127
A317120,20190918
A004410,19731228
A020710,19990811
A033560,20110126
A006110,19801205
A225190,20170602
A036260,19991208
A058850,20100916
A034300,19990623
A950140,20161014
A123840,20101005
A215790,20150508
A234300,20171205
A277880,20171030
A123570,20111125
A078890,20050712
A001140,19891202
A035000,19990811
A066980,20030115
A164060,20200806
A221840,20151125
A000910,19960703
A005800,19761228
A071460,20160714
A022220,19931214
A001550,19761228
A018700,19940311
A078860,20060627
A006980,19881010
A066900,20040512
A219130,20150925
A106520,20120713
A065500,20020917
A155660,20130515
A014990,19890620
A033230,19990728
A222110,20160311
A053350,20011113
A170790,20130801
A014200,19930630
A013000,19890905
A005110,19760601
A117670,20100917
A060560,20020709
A101330,20100204
A195500,20190820
A219550,20150722
A016600,19930614
A072990,20161017
A050090,20040625
A036170,19991218
A089150,20061213
A072470,20031024
A013700,19891130
A006090,19861224
A016740,20160729
A016670,19930414
A007980,19941227
A002880,19770218
A246960,20190201
A002360,19851223
A006910,19940831
A071280,20031112
A170920,20131008
A025620,19950708
A258790,20170427
A000500,19870608
A083500,20170227
A000300,19750609
A047560,20080701
A049720,20020129
A003080,19761223
A250060,20160908
A016880,19941105
A217500,20150616
A215100,20150422
A032980,19970806
A085310,20080124
A042110,20000711
A093240,20090928
A126870,20120215
A088390,20061020
A096350,20071217
A001020,19760626
A318010,20191022
A002200,19740628
A079190,20051129
A246690,20161215
A018620,20080520
A225430,20151008
A024880,19941222
A049520,20010731
A007370,20000725
A198080,20200316
A065510,20031029
A008600,19890728
A007590,19770629
A003720,19760630
A063440,20020528
A005190,19880701
A058860,20101217
A051380,20020208
A150900,20131018
A026940,19950929
A041020,20051028
A088910,20060623
A303030,20180830
A017040,19900914
A100220,20080630
A145210,20150319
A056700,20011211
A208140,20141217
A105840,20100726
A126600,20101112
A093190,20070820
A094820,20071106
A002230,19901228
A037030,19991222
A009780,19931005
A016090,19900920
A131100,20110614
A189980,20150807
A032940,19970718
A173940,20141204
A004140,19880810
A009310,19871112
A004450,19760528
A092600,20070626
A088130,20070103
A115440,20100127
A052900,20050114
A047080,20020108
A111110,20170202
A049430,20010112
A094940,20070914
A129260,20111216
A083660,20060725
A104200,20091006
A043340,20000825
A204840,20141120
A005870,19910903
A016790,20180601
A033100,19970818
A017650,19941031
A086670,20071102
A038340,20011120
A187220,20141217
A117730,20181129
A010100,19871002
A004870,19770630
A006580,19931222
A270520,20170822
A139050,20110729
A286750,20190819
A250930,20160929
A003610,19890530
A050120,20020423
A217620,20150610
A252500,20161102
A102210,20090521
A043260,20011127
A049630,20030122
A053160,20011026
A238200,20181226
A222420,20150806
A021820,19960703
A032790,19970626
