,std_dt,symbol,issued_sh
497,20101216,A000270,396466982
498,20101223,A000270,397220554
499,20101230,A000270,397575200
500,20110106,A000270,397854423
501,20110113,A000270,397878300
502,20110120,A000270,398001694
503,20110127,A000270,398075695
504,20110208,A000270,398088777
505,20110214,A000270,398092370
506,20110217,A000270,398112026
507,20110224,A000270,398155923
508,20110304,A000270,398162785
509,20110310,A000270,398208680
510,20110317,A000270,398303244
511,20110324,A000270,398366977
512,20110331,A000270,398388764
513,20110407,A000270,398467356
514,20110414,A000270,398495276
515,20110421,A000270,398614830
516,20110428,A000270,398663042
517,20110506,A000270,398735135
518,20110516,A000270,398757212
519,20110519,A000270,398759400
520,20110526,A000270,398767956
521,20110602,A000270,398824618
522,20110610,A000270,398897693
523,20110616,A000270,398928716
524,20110623,A000270,398941631
525,20110630,A000270,399017029
526,20110707,A000270,399070043
527,20110714,A000270,399077397
528,20110721,A000270,399111890
529,20110728,A000270,399133872
530,20110804,A000270,399135268
531,20110811,A000270,399157707
532,20110819,A000270,399211264
533,20110825,A000270,399247885
534,20110901,A000270,399408921
535,20110908,A000270,399613247
536,20110919,A000270,399615806
537,20110922,A000270,399786714
538,20110929,A000270,399797814
539,20111007,A000270,399878634
540,20111013,A000270,399878643
541,20111020,A000270,399897118
542,20111027,A000270,399927196
543,20111103,A000270,400088956
544,20111110,A000270,400116372
545,20111117,A000270,400164799
546,20111124,A000270,400166929
547,20111201,A000270,400187269
548,20111208,A000270,400193207
549,20111215,A000270,400215612
550,20111222,A000270,400444606
551,20111229,A000270,403814773
552,20120106,A000270,403973865
553,20120112,A000270,403996171
554,20120119,A000270,404049301
555,20120127,A000270,404089505
556,20120202,A000270,404098645
557,20120209,A000270,404184754
558,20120216,A000270,404607399
559,20120223,A000270,404901452
560,20120227,A000270,405363347
561,19991228,A000280,34497349
562,20000110,A000280,34818622
563,20000124,A000280,34878117
564,20000313,A000280,35032804
565,20000330,A000280,35318380
566,20000529,A000280,36032320
567,20001127,A000280,37817170
568,20010110,A000280,39126060
569,20010129,A000280,41041799
570,20010222,A000280,41813397
571,20010607,A000280,0
572,19991228,A000300,2700000
573,20020507,A000300,1489205
574,20031010,A000300,2989205
575,20060321,A000300,20946025
576,20060707,A000300,37520482
577,20061017,A000300,38546123
578,20061228,A000300,39571764
579,20070824,A000300,39582117
580,20070911,A000300,39591319
581,20071018,A000300,39743982
582,20071205,A000300,39780259
583,20080109,A000300,39849534
584,20080116,A000300,40539697
585,20080125,A000300,40545613
586,20080310,A000300,40574299
587,20080314,A000300,41023377
588,20080319,A000300,43334558
589,20080321,A000300,43362496
590,20080325,A000300,43779303
591,20080328,A000300,44430591
592,20080403,A000300,45904657
593,20080410,A000300,45907525
594,20080506,A000300,46316302
595,20080520,A000300,46318883
596,20080523,A000300,46321464
597,20080612,A000300,46323185
598,20080625,A000300,46328922
599,20080707,A000300,46366153
600,20090525,A000300,46366726
601,20090721,A000300,46368160
602,20090805,A000300,54368160
603,20090831,A000300,54376192
604,20100114,A000300,54382216
605,20100122,A000300,54385486
606,20100319,A000300,54387953
607,20100406,A000300,54416638
608,20111024,A000300,57084727
609,20120102,A000300,57793032
610,20120110,A000300,59080861
611,20120117,A000300,60497474
612,20120217,A000300,60948214
613,20120221,A000300,61270171
614,20120309,A000300,61334562
615,20120821,A000300,85734562
616,20121012,A000300,87138070
617,20140416,A000300,88120526
618,20180717,A000300,100682460
619,20190409,A000300,102144091
620,20190520,A000300,104580144
621,20190621,A000300,104945552
622,20190729,A000300,105310960
623,20200115,A000300,106626749
624,20200424,A000300,107534190
625,20200527,A000300,110474296
626,20200625,A000300,111563225
627,20200702,A000300,113243897
628,20200806,A000300,114588434
629,20201126,A000300,116154722
630,20201207,A000300,116662887
631,19991228,A000310,748792
632,20000111,A000310,162619992
633,20011112,A000310,0
634,19991228,A000320,2297046
635,20000417,A000320,2440655
636,20020104,A000320,2188255
637,20020408,A000320,21882550
638,20020510,A000320,22177550
639,20030120,A000320,22227550
640,20040219,A000320,21227550
641,20051219,A000320,21789650
642,20051223,A000320,21894650
643,20060623,A000320,8000000
644,20060929,A000320,9821368
645,20070928,A000320,13198611
646,20170928,A000320,13291151
647,19991228,A000360,11825295
648,20130125,A000360,8868035
649,20150415,A000360,0
650,19991228,A000370,6661140
651,20010116,A000370,15320622
652,20030227,A000370,46431734
653,20040428,A000370,15477244
654,20070306,A000370,30477244
655,20100120,A000370,48738915
656,20131128,A000370,90738915
657,20171123,A000370,116738915
658,19991228,A000380,8650646
659,20010521,A000380,9850646
660,20011017,A000380,11300000
661,20041021,A000380,0
662,19991228,A000390,1720000
663,20000410,A000390,17200000
664,20000522,A000390,22400000
665,20160119,A000390,22668570
666,20160229,A000390,22769539
667,20160504,A000390,23369288
668,20161207,A000390,25388674
669,20170616,A000390,25691581
670,20170817,A000390,26196427
671,20180214,A000390,26438751
672,19991228,A000400,4912772
673,20010223,A000400,6039625
674,20011228,A000400,10000
675,20020109,A000400,8410000
676,20060517,A000400,42050000
677,20121226,A000400,67280000
678,20150625,A000400,134280000
679,20191025,A000400,310336320
680,19991228,A000420,3691162
681,20000629,A000420,4118810
682,20000706,A000420,4149816
683,20000714,A000420,4156624
684,20000728,A000420,4156945
685,20000804,A000420,4158024
686,20001009,A000420,4180071
687,20001013,A000420,4209621
688,20001020,A000420,4241575
