,std_dt,symbol,currency
606,19991228,A010690,KRW
607,19991228,A010730,KRW
608,19991228,A010770,KRW
609,19991228,A010780,KRW
610,19991228,A010810,KRW
611,19991228,A010820,KRW
612,19991228,A010950,KRW
613,20020716,A010960,KRW
614,19991228,A011000,KRW
615,19991228,A011020,KRW
616,19991228,A011040,KRW
617,19991228,A011050,KRW
618,20080724,A011070,KRW
619,20040702,A011080,KRW
620,19991228,A011090,KRW
621,19991228,A011150,KRW
622,19991228,A011160,KRW
623,19991228,A011170,KRW
624,19991228,A011200,KRW
625,20110221,A011210,KRW
626,19991228,A011230,KRW
627,19991228,A011260,KRW
628,19991228,A011280,KRW
629,19991228,A011290,KRW
630,19991228,A011300,KRW
631,19991228,A011320,KRW
632,20000106,A011321,KRW
633,19991228,A011330,KRW
634,19991228,A011370,KRW
635,19991228,A011390,KRW
636,19991228,A011400,KRW
637,19991228,A011420,KRW
638,19991228,A011450,KRW
639,20030109,A011500,KRW
640,19991228,A011510,KRW
641,19991228,A011560,KRW
642,19991228,A011650,KRW
643,19991228,A011690,KRW
644,19991228,A011700,KRW
645,19991228,A011720,KRW
646,19991228,A011760,KRW
647,19991228,A011780,KRW
648,19991228,A011790,KRW
649,19991228,A011800,KRW
650,19991228,A011810,KRW
651,19991228,A011840,KRW
652,19991228,A011870,KRW
653,19991228,A011890,KRW
654,19991228,A011930,KRW
655,19991228,A012010,KRW
656,19991228,A012030,KRW
657,19991228,A012090,KRW
658,20100125,A012160,KRW
659,19991228,A012170,KRW
660,19991228,A012200,KRW
661,19991228,A012250,KRW
662,19991228,A012260,KRW
663,19991228,A012270,KRW
664,19991228,A012280,KRW
665,19991228,A012320,KRW
666,19991228,A012330,KRW
667,19991228,A012340,KRW
668,19991228,A012400,KRW
669,19991228,A012410,KRW
670,19991228,A012420,KRW
671,19991228,A012450,KRW
672,19991228,A012460,KRW
673,19991228,A012510,KRW
674,19991228,A012580,KRW
675,19991228,A012600,KRW
676,19991228,A012610,KRW
677,19991228,A012620,KRW
678,19991228,A012630,KRW
679,19991228,A012650,KRW
680,19991228,A012670,KRW
681,19991228,A012690,KRW
682,19991228,A012700,KRW
683,19991228,A012710,KRW
684,19991228,A012720,KRW
685,19991228,A012750,KRW
686,19991228,A012760,KRW
687,19991228,A012790,KRW
688,19991228,A012800,KRW
689,19991228,A012860,KRW
690,20010718,A012990,KRW
691,19991228,A013000,KRW
692,19991228,A013030,KRW
693,19991228,A013090,KRW
694,19991228,A013120,KRW
695,19991228,A013200,KRW
696,19991228,A013240,KRW
697,19991228,A013250,KRW
698,19991228,A013310,KRW
699,20151222,A013310,KRW
700,19991228,A013320,KRW
701,19991228,A013340,KRW
702,19991228,A013360,KRW
703,19991228,A013450,KRW
704,19991228,A013520,KRW
705,19991228,A013570,KRW
706,19991228,A013580,KRW
707,19991228,A013630,KRW
708,19991228,A013650,KRW
709,19991228,A013700,KRW
710,19991228,A013720,KRW
711,19991228,A013780,KRW
712,19991228,A013781,KRW
713,19991228,A013810,KRW
714,19991228,A013850,KRW
715,20121120,A013870,KRW
716,19991228,A013890,KRW
717,20191030,A013890,KRW
718,19991228,A013900,KRW
719,20020117,A013990,KRW
720,19991228,A014010,KRW
721,19991228,A014040,KRW
722,19991228,A014080,KRW
723,19991228,A014090,KRW
724,19991228,A014100,KRW
725,19991228,A014130,KRW
726,19991228,A014160,KRW
727,19991228,A014190,KRW
728,19991228,A014200,KRW
729,19991228,A014280,KRW
730,19991228,A014300,KRW
731,19991228,A014350,KRW
732,19991228,A014420,KRW
733,19991228,A014440,KRW
734,19991228,A014470,KRW
735,19991228,A014530,KRW
736,20001207,A014570,KRW
737,19991228,A014580,KRW
738,19991228,A014590,KRW
739,20010111,A014620,KRW
740,19991228,A014680,KRW
741,20120629,A014710,KRW
742,19991228,A014740,KRW
743,19991228,A014790,KRW
744,19991228,A014820,KRW
745,20041203,A014830,KRW
746,19991228,A014900,KRW
747,19991228,A014910,KRW
748,20011226,A014940,KRW
749,19991228,A014970,KRW
750,19991228,A014990,KRW
751,19991228,A015020,KRW
752,19991228,A015050,KRW
753,19991228,A015054,KRW
754,19991228,A015060,KRW
755,19991228,A015110,KRW
756,19991228,A015150,KRW
757,20000824,A015170,KRW
758,19991228,A015200,KRW
759,19991228,A015230,KRW
760,19991228,A015260,KRW
761,19991228,A015350,KRW
762,19991228,A015360,KRW
763,20010809,A015390,KRW
764,19991228,A015540,KRW
765,19991228,A015580,KRW
766,19991228,A015590,KRW
767,19991228,A015620,KRW
768,19991228,A015650,KRW
769,19991228,A015670,KRW
770,19991228,A015710,KRW
771,19991228,A015750,KRW
772,19991228,A015760,KRW
773,19991228,A015860,KRW
774,19991228,A015880,KRW
775,19991228,A015890,KRW
776,19991228,A015940,KRW
777,19991228,A016040,KRW
778,19991228,A016090,KRW
779,20030115,A016100,KRW
780,19991228,A016140,KRW
781,19991228,A016160,KRW
782,20010111,A016170,KRW
783,19991228,A016250,KRW
784,19991228,A016360,KRW
785,19991228,A016380,KRW
786,19991228,A016390,KRW
787,19991228,A016420,KRW
788,19991228,A016450,KRW
789,19991228,A016510,KRW
790,19991228,A016550,KRW
791,19991228,A016560,KRW
792,19991228,A016570,KRW
793,19991228,A016580,KRW
794,19991228,A016590,KRW
795,19991228,A016600,KRW
796,19991228,A016601,KRW
797,19991228,A016610,KRW
798,19991228,A016670,KRW
799,19991228,A016710,KRW
800,20160729,A016740,KRW
801,20180601,A016790,KRW
802,19991228,A016800,KRW
803,19991228,A016830,KRW
804,19991228,A016880,KRW
805,19991228,A016890,KRW
806,19991228,A016920,KRW
807,19991228,A016970,KRW
808,20001221,A016990,KRW
809,19991228,A017000,KRW
810,20030128,A017010,KRW
811,19991228,A017040,KRW
812,19991228,A017050,KRW
813,19991228,A017090,KRW
814,19991228,A017120,KRW
815,19991228,A017160,KRW
816,19991228,A017170,KRW
817,20080710,A017180,KRW
818,19991228,A017210,KRW
819,20000120,A017211,KRW
820,19991228,A017250,KRW
821,19991228,A017300,KRW
822,19991228,A017320,KRW
823,20010809,A017370,KRW
824,19991228,A017390,KRW
825,20010109,A017480,KRW
826,19991228,A017510,KRW
827,19991228,A017550,KRW
828,19991228,A017620,KRW
829,19991228,A017650,KRW
830,19991228,A017670,KRW
831,19991228,A017680,KRW
832,19991228,A017740,KRW
833,19991228,A017800,KRW
834,19991228,A017810,KRW
835,19991228,A017890,KRW
836,19991228,A017900,KRW
837,19991228,A017940,KRW
838,19991228,A017960,KRW
839,19991228,A018000,KRW
840,19991228,A018020,KRW
841,19991228,A018120,KRW
842,19991228,A018180,KRW
843,20180322,A018250,KRW
844,20141114,A018260,KRW
845,19991228,A018290,KRW
846,19991228,A018310,KRW
847,19991228,A018360,KRW
848,19991228,A018410,KRW
849,19991228,A018470,KRW
850,19991228,A018500,KRW
851,19991228,A018550,KRW
852,19991228,A018570,KRW
853,19991228,A018590,KRW
854,20080520,A018620,KRW
855,19991228,A018670,KRW
856,20000818,A018680,KRW
857,19991228,A018700,KRW
858,19991228,A018720,KRW
859,19991228,A018880,KRW
860,19991228,A018890,KRW
861,19991228,A019010,KRW
862,19991228,A019120,KRW
