,std_dt,ticker,kospi200
1857,20000503,A036800,N
1858,20000118,A036810,N
1859,20000104,A036820,N
1860,20000118,A036830,N
1861,20000104,A036850,N
1862,20000104,A036880,N
1863,20000720,A036890,N
1864,20000111,A036900,N
1865,20000104,A036910,N
1866,20000104,A036920,N
1867,20000104,A036930,N
1868,20000104,A037010,N
1869,20000104,A037020,N
1870,20000104,A037030,N
1871,20150424,A037030,N
1872,20010814,A037060,N
1873,20000104,A037070,N
1874,20000711,A037110,N
1875,20000104,A037120,N
1876,20000104,A037150,N
1877,20000104,A037200,N
1878,20000104,A037220,N
1879,20000104,A037230,N
1880,20000104,A037240,N
1881,20000104,A037250,N
1882,20030801,A037270,N
1883,20000229,A037280,N
1884,20020917,A037320,N
1885,20000104,A037330,N
1886,20000111,A037350,N
1887,20000111,A037370,N
1888,20000127,A037380,N
1889,20000104,A037400,N
1890,20000104,A037410,N
1891,20000203,A037440,N
1892,20000104,A037460,N
1893,20000104,A037540,N
1894,20020117,A037550,N
1895,20121109,A037560,N
1896,20000104,A037600,N
1897,20060215,A037620,N
1898,20070615,A037620,Y
1899,20161221,A037620,N
1900,20000104,A037630,N
1901,20000104,A037650,N
1902,20000104,A037700,N
1903,20020207,A037710,N
1904,20000725,A037730,N
1905,20000303,A037740,N
1906,20001109,A037750,N
1907,20000407,A037760,N
1908,20020205,A037830,N
1909,20000824,A037950,N
1910,20000111,A038010,N
1911,20020110,A038050,N
1912,20060808,A038060,N
1913,20051025,A038070,N
1914,20000113,A038100,N
1915,20000323,A038110,N
1916,20000824,A038120,N
1917,20150424,A038160,N
1918,20000222,A038290,N
1919,20020423,A038320,N
1920,20011122,A038340,N
1921,20000201,A038390,N
1922,20011221,A038400,N
1923,20060725,A038410,N
1924,20000622,A038460,N
1925,20010201,A038500,N
1926,20000609,A038530,N
1927,20000818,A038540,N
1928,20000504,A038620,N
1929,20000427,A038680,N
1930,20000629,A038690,N
1931,20010118,A038720,N
1932,20000509,A038810,N
1933,20000831,A038830,N
1934,20010529,A038870,N
1935,20000427,A038880,N
1936,20000706,A038920,N
1937,20000504,A038950,N
1938,20010515,A038960,N
1939,20000704,A038980,N
1940,20020131,A039000,N
1941,20000720,A039010,N
1942,20000504,A039020,N
1943,20000824,A039030,N
1944,20000321,A039040,N
1945,20010619,A039060,N
1946,20001128,A039130,N
1947,20070117,A039200,N
1948,20000622,A039230,N
1949,20000307,A039240,N
1950,20060704,A039290,N
1951,20000609,A039310,N
1952,20040730,A039340,N
1953,20001207,A039350,N
1954,20000725,A039390,N
1955,20020312,A039420,N
1956,20020228,A039440,N
1957,20040423,A039490,N
1958,20201211,A039490,Y
1959,20000316,A039500,N
1960,20000321,A039530,N
1961,20000622,A039560,N
1962,20150924,A039570,N
1963,20000706,A039580,N
1964,20000316,A039610,N
1965,20040116,A039670,N
1966,20000706,A039740,N
1967,20000725,A039790,N
1968,20010103,A039830,N
1969,20000629,A039840,N
1970,20000711,A039850,N
1971,20000816,A039860,N
1972,20000818,A039870,N
1973,20020812,A039980,N
1974,20000613,A039990,N
1975,20000713,A040020,N
1976,20000503,A040130,N
1977,20000829,A040160,N
1978,20000720,A040180,N
1979,20010904,A040300,N
1980,20020110,A040350,N
1981,20000801,A040420,N
1982,20000427,A040610,N
1983,20000818,A040670,N
1984,20040128,A040740,N
1985,20001205,A040750,N
1986,20000627,A040780,N
1987,20110805,A040910,N
1988,20051028,A041020,N
1989,20000530,A041030,N
1990,20000607,A041060,N
1991,20000725,A041140,N
1992,20000609,A041190,N
1993,20000509,A041310,N
1994,20000808,A041320,N
1995,20031114,A041440,N
1996,20000720,A041450,N
1997,20101119,A041460,N
1998,20000427,A041510,N
1999,20030704,A041520,N
2000,20000711,A041550,N
2001,20021024,A041590,N
2002,20020115,A041630,N
2003,20011115,A041650,N
2004,20011213,A041800,N
2005,20001214,A041830,N
2006,20040206,A041910,N
2007,20130701,A041920,N
2008,20011226,A041930,N
2009,20010724,A041940,N
2010,20011030,A041960,N
2011,20141104,A042000,N
2012,20030107,A042040,N
2013,20020726,A042100,N
2014,20040611,A042100,Y
2015,20090623,A042100,N
2016,20000713,A042110,N
2017,20000622,A042340,N
2018,20000803,A042370,N
2019,20000627,A042420,N
2020,20000719,A042470,N
2021,20020110,A042500,N
2022,20010103,A042510,N
2023,20091009,A042520,N
2024,20001019,A042570,N
2025,20021001,A042600,N
2026,20010202,A042660,N
2027,20020617,A042660,Y
2028,20170511,A042660,N
2029,20180615,A042660,Y
2030,20010202,A042670,N
2031,20020617,A042670,Y
2032,20050722,A042700,N
2033,20070615,A042700,Y
2034,20090612,A042700,N
2035,20150612,A042700,Y
2036,20160610,A042700,N
2037,20000711,A042820,N
2038,20000627,A042870,N
2039,20001019,A042940,N
2040,20000711,A042960,N
2041,20011011,A043090,N
2042,20000808,A043100,N
2043,20060929,A043150,N
2044,20000719,A043200,N
2045,20010703,A043220,N
2046,20011129,A043260,N
2047,20111025,A043290,N
2048,20000829,A043340,N
2049,20010720,A043360,N
2050,20011213,A043370,N
2051,20010802,A043580,N
2052,20011220,A043590,N
2053,20000720,A043610,N
2054,20000704,A043630,N
2055,20000824,A043650,N
2056,20000727,A043680,N
2057,20010628,A043690,N
2058,20020711,A043710,N
2059,20000615,A043790,N
2060,20000810,A043890,N
2061,20051118,A043910,N
2062,20010118,A044060,N
2063,20041119,A044070,N
2064,20001116,A044180,N
2065,20001024,A044340,N
2066,20000713,A044370,N
2067,20061115,A044380,N
2068,20000803,A044440,N
2069,20071026,A044450,N
2070,20010111,A044480,N
2071,20011108,A044490,N
2072,20011228,A044570,N
2073,20010111,A044640,N
2074,20000629,A044770,N
2075,20000907,A044780,N
2076,20020207,A044820,N
2077,20130614,A044820,Y
2078,20140613,A044820,N
2079,20001116,A044960,N
2080,20010802,A045050,N
2081,20000810,A045060,N
2082,20000831,A045100,N
2083,20010807,A045240,N
2084,20011108,A045260,N
2085,20040106,A045290,N
2086,20011218,A045300,N
2087,20020110,A045310,N
2088,20020715,A045340,N
2089,20001207,A045380,N
2090,20010517,A045390,N
2091,20010817,A045400,N
2092,20000727,A045470,N
2093,20000907,A045510,N
2094,20001205,A045520,N
2095,20010524,A045660,N
2096,20060703,A045710,N
2097,20081127,A045820,N
2098,20020207,A045880,N
2099,20051128,A045890,N
2100,20001006,A045920,N
2101,20000803,A045970,N
2102,20010111,A046000,N
2103,20001226,A046070,N
2104,20060120,A046110,N
2105,20100615,A046120,N
2106,20030205,A046140,N
2107,20000816,A046210,N
2108,20001107,A046240,N
2109,20020205,A046310,N
2110,20010410,A046320,N
2111,20000824,A046350,N
2112,20010111,A046390,N
2113,20020523,A046430,N
2114,20041214,A046440,N
2115,20021010,A046720,N
2116,20000818,A046810,N
2117,20020117,A046890,N
2118,20000818,A046930,N
2119,20020618,A046940,N
2120,20121127,A046970,N
2121,20010323,A047040,N
2122,20020617,A047040,Y
2123,20010323,A047050,N
2124,20050610,A047050,Y
2125,20000908,A047060,N
2126,20020110,A047080,N
2127,20030725,A047310,N
2128,20010529,A047370,N
2129,20090929,A047400,N
2130,20011120,A047440,N
2131,20001123,A047450,N
2132,20080701,A047560,N
2133,20010111,A047600,N
2134,20001212,A047610,N
2135,20010720,A047710,N
2136,20010918,A047770,N
2137,20110630,A047810,N
2138,20130614,A047810,Y
2139,20021224,A047820,N
2140,20141223,A047920,N
2141,20010621,A047940,N
2142,20011122,A048130,N
2143,20010426,A048140,N
2144,20021024,A048150,N
2145,20070207,A048260,N
2146,20030124,A048270,N
2147,20020808,A048410,N
2148,20010111,A048430,N
2149,20001214,A048460,N
2150,20020110,A048470,N
2151,20010614,A048510,N
2152,20110126,A048530,N
2153,20010731,A048540,N
2154,20010118,A048550,N
2155,20010109,A048640,N
2156,20001012,A048760,N
2157,20010116,A048770,N
2158,20001012,A048830,N
2159,20040813,A048870,N
2160,20010731,A048910,N
2161,20010103,A049000,N
2162,20020221,A049070,N
2163,20131219,A049080,N
2164,20010726,A049120,N
2165,20020523,A049180,N
2166,20020205,A049370,N
2167,20010116,A049430,N
2168,20011011,A049470,N
2169,20010109,A049480,N
2170,20010802,A049520,N
2171,20020228,A049550,N
2172,20030124,A049630,N
2173,20020108,A049690,N
2174,20020131,A049720,N
2175,20001123,A049770,N
2176,20030613,A049770,Y
2177,20090612,A049770,N
2178,20130403,A049770,Y
2179,20010213,A049790,N
2180,20010726,A049800,N
2181,20010118,A049830,N
2182,20050104,A049950,N
2183,20021213,A049960,N
2184,20001221,A050050,N
2185,20040629,A050090,N
2186,20010517,A050110,N
2187,20020425,A050120,N
2188,20020115,A050320,N
2189,20020423,A050470,N
2190,20051212,A050540,N
2191,20010621,A050600,N
2192,20050805,A050640,N
2193,20020516,A050760,N
2194,20100126,A050860,N
2195,20050708,A050890,N
2196,20161011,A050960,N
2197,20020527,A051160,N
2198,20011023,A051170,N
2199,20071129,A051310,N
2200,20090612,A051310,Y
2201,20150612,A051310,N
2202,20041119,A051360,N
2203,20030122,A051370,N
2204,20020215,A051380,N
2205,20011115,A051390,N
2206,20010612,A051490,N
2207,20010726,A051500,N
2208,20010703,A051530,N
2209,20071214,A051600,N
2210,20140613,A051600,Y
2211,20010129,A051630,N
2212,20040618,A051710,N
2213,20010626,A051780,N
2214,20051111,A051820,N
2215,20010425,A051900,N
2216,20020617,A051900,Y
2217,20010425,A051910,N
2218,20020617,A051910,Y
2219,20010731,A051980,N
2220,20010705,A052020,N
2221,20010621,A052190,N
2222,20021223,A052210,N
2223,20050121,A052220,N
2224,20010517,A052260,N
2225,20010605,A052270,N
2226,20010531,A052290,N
2227,20010802,A052300,N
2228,20010524,A052310,N
2229,20010710,A052330,N
2230,20010720,A052350,N
2231,20011018,A052400,N
2232,20010807,A052420,N
2233,20050103,A052460,N
2234,20010710,A052560,N
2235,20010710,A052600,N
2236,20010731,A052640,N
2237,20011218,A052650,N
2238,20020124,A052670,N
2239,20091214,A052690,N
2240,20110610,A052690,Y
2241,20030801,A052710,N
2242,20020821,A052770,N
2243,20010814,A052790,N
2244,20011213,A052810,N
2245,20091006,A052860,N
2246,20050118,A052900,N
2247,20020715,A052970,N
2248,20020624,A053000,N
2249,20020913,A053000,Y
2250,20010807,A053030,N
2251,20010809,A053040,N
2252,20011011,A053050,N
2253,20010817,A053060,N
2254,20010807,A053070,N
2255,20200924,A053080,N
2256,20011009,A053110,N
2257,20011030,A053160,N
2258,20020110,A053170,N
2259,20011226,A053200,N
2260,20110603,A053210,N
2261,20010720,A053250,N
2262,20020104,A053260,N
2263,20020207,A053270,N
2264,20080507,A053280,N
2265,20021209,A053290,N
2266,20140204,A053300,N
2267,20020104,A053320,N
2268,20011101,A053330,N
2269,20011115,A053350,N
2270,20010821,A053440,N
2271,20010809,A053450,N
2272,20010731,A053470,N
2273,20141223,A053580,N
2274,20010823,A053590,N
2275,20010817,A053610,N
2276,20010807,A053620,N
2277,20020215,A053660,N
2278,20090623,A053690,N
2279,20011106,A053700,N
2280,20030321,A053740,N
2281,20010913,A053800,N
2282,20020715,A053810,N
2283,20011213,A053870,N
2284,20020507,A053890,N
2285,20011106,A053950,N
2286,20011113,A053960,N
2287,20020409,A053980,N
2288,20011023,A054010,N
2289,20020507,A054020,N
2290,20020115,A054040,N
2291,20020402,A054050,N
2292,20011009,A054080,N
2293,20040206,A054090,N
2294,20020618,A054120,N
2295,20011108,A054150,N
2296,20011011,A054170,N
2297,20011016,A054180,N
2298,20020509,A054210,N
2299,20011226,A054220,N
2300,20011220,A054250,N
2301,20020110,A054300,N
2302,20020110,A054340,N
2303,20011120,A054370,N
2304,20020425,A054410,N
2305,20011122,A054440,N
2306,20041210,A054450,N
2307,20010828,A054530,N
2308,20011115,A054540,N
2309,20011204,A054620,N
2310,20011113,A054630,N
2311,20020110,A054650,N
2312,20020226,A054670,N
2313,20031114,A054780,N
2314,20011206,A054790,N
2315,20010927,A054800,N
2316,20011101,A054920,N
2317,20020115,A054930,N
2318,20011213,A054940,N
2319,20060607,A054950,N
2320,20011218,A055000,N
2321,20011206,A055250,N
2322,20171031,A055490,N
2323,20010910,A055550,N
2324,20010911,A055550,Y
2325,20031107,A055810,N
2326,20030801,A055970,N
2327,20030711,A056000,N
2328,20020812,A056010,N
2329,20030704,A056020,N
2330,20020115,A056060,N
2331,20011113,A056080,N
2332,20151112,A056090,N
2333,20011220,A056140,N
2334,20011218,A056190,N
2335,20020129,A056200,N
2336,20021024,A056340,N
2337,20011204,A056360,N
2338,20020604,A056500,N
2339,20011213,A056700,N
2340,20020110,A056710,N
2341,20020104,A056730,N
2342,20020115,A056810,N
2343,20011220,A056850,N
2344,20040608,A057030,N
2345,20100913,A057050,N
2346,20160316,A057050,Y
2347,20021024,A057100,N
2348,20020110,A057110,N
2349,20011220,A057330,N
2350,20011226,A057500,N
2351,20070919,A057540,N
2352,20020618,A057680,N
2353,20031229,A057880,N
2354,20151214,A058110,N
2355,20050805,A058220,N
2356,20020219,A058370,N
