,std_dt,symbol,administrative_issues
956,19991228,A007120,
957,19991228,A007140,
958,19991228,A007160,
959,19991228,A007170,
960,19991228,A007190,
961,20011004,A007190,관리
962,20030926,A007190,
963,19991228,A007200,
964,19991228,A007210,
965,20040701,A007210,관리
966,20041001,A007210,
967,20050401,A007210,관리
968,20060222,A007210,
969,20110401,A007210,관리
970,20120203,A007210,
971,19991228,A007230,
972,19991228,A007240,
973,19991228,A007260,
974,19991228,A007280,
975,20151116,A007280,관리
976,20181004,A007280,
977,19991228,A007310,
978,19991228,A007330,
979,19991228,A007340,
980,19991228,A007360,
981,19991228,A007370,
982,19991228,A007380,
983,19991228,A007390,
984,20080319,A007390,관리
985,20090320,A007390,
986,20121214,A007390,관리
987,20130412,A007390,
988,20130426,A007390,관리
989,20140630,A007390,
990,19991228,A007410,
991,20010402,A007410,관리
992,20020415,A007410,
993,19991228,A007420,
994,20001213,A007420,관리
995,20011015,A007420,
996,19991228,A007460,
997,19991228,A007480,
998,20080102,A007480,관리
999,20090403,A007480,
1000,20090504,A007480,관리
1001,20120813,A007480,
1002,19991228,A007490,
1003,20100401,A007490,관리
1004,20100408,A007490,
1005,19991228,A007530,
1006,20050418,A007530,관리
1007,20060403,A007530,
1008,20190322,A007530,관리
1009,20190828,A007530,
1010,19991228,A007540,
1011,20090401,A007540,관리
1012,20090403,A007540,
1013,20090504,A007540,관리
1014,20091223,A007540,
1015,19991228,A007560,
1016,19991228,A007570,
1017,19991228,A007590,
1018,19991228,A007610,
1019,19991228,A007630,
1020,20010921,A007630,관리
1021,20050331,A007630,
1022,20190322,A007630,관리
1023,19991228,A007660,
1024,19991228,A007680,
1025,19991228,A007690,
1026,19991228,A007700,
1027,19991228,A007720,
1028,20000201,A007720,관리
1029,20030123,A007720,
1030,19991228,A007770,
1031,19991228,A007790,
1032,19991228,A007800,
1033,19991228,A007810,
1034,19991228,A007820,
1035,19991228,A007830,
1036,19991228,A007840,
1037,19991228,A007850,
1038,19991228,A007860,
1039,19991228,A007910,
1040,19991228,A007980,
1041,19991228,A007990,
1042,19991228,A008000,
1043,19991228,A008010,
1044,19991228,A008020,
1045,19991228,A008030,
1046,20050401,A008030,관리
1047,20050602,A008030,
1048,19991228,A008040,
1049,20030707,A008040,관리
1050,20040105,A008040,
1051,19991228,A008050,
1052,19991228,A008060,
1053,19991228,A008080,
1054,20000104,A008080,관리
1055,20001221,A008080,
1056,20031103,A008080,관리
1057,20040503,A008080,
1058,20111206,A008080,관리
1059,20121206,A008080,
1060,20130325,A008080,관리
1061,20130925,A008080,
1062,19991228,A008100,
1063,19991228,A008110,
1064,19991228,A008160,
1065,19991228,A008170,
1066,19991228,A008190,
1067,19991228,A008250,
1068,19991228,A008260,
1069,20000104,A008260,관리
1070,20010919,A008260,
1071,19991228,A008270,
1072,20030630,A008270,관리
1073,20050617,A008270,
1074,19991228,A008290,
1075,19991228,A008320,
1076,20000104,A008320,관리
1077,20050131,A008320,
1078,19991228,A008330,
1079,19991228,A008350,
1080,19991228,A008370,
1081,19991228,A008400,
1082,20010402,A008400,관리
1083,20041116,A008400,
1084,20090225,A008400,관리
1085,20090326,A008400,
1086,20090401,A008400,관리
1087,20090403,A008400,
1088,20090504,A008400,관리
1089,20090513,A008400,
1090,19991228,A008410,
1091,19991228,A008420,
1092,19991228,A008430,
1093,19991228,A008440,
1094,20010402,A008440,관리
1095,20020424,A008440,
1096,19991228,A008470,
1097,19991228,A008480,
1098,19991228,A008490,
1099,19991228,A008500,
1100,19991228,A008530,
1101,19991228,A008540,
1102,20000104,A008540,관리
1103,20040422,A008540,
1104,20111025,A008540,관리
1105,20111026,A008540,
1106,20120302,A008540,관리
1107,20120307,A008540,
1108,20120502,A008540,관리
1109,20120510,A008540,
1110,19991228,A008560,
1111,19991228,A008580,
1112,19991228,A008600,
1113,19991228,A008640,
1114,20000104,A008640,관리
1115,20010122,A008640,
1116,19991228,A008650,
1117,19991228,A008670,
1118,19991228,A008680,
1119,19991228,A008700,
1120,20000104,A008700,관리
1121,20020110,A008700,
1122,20020114,A008700,관리
1123,20020318,A008700,
1124,19991228,A008720,
1125,19991228,A008730,
1126,19991228,A008750,
1127,20030401,A008750,관리
1128,20031229,A008750,
1129,19991228,A008770,
1130,19991228,A008780,
1131,20030401,A008780,관리
1132,20031110,A008780,
1133,19991228,A008800,
1134,20170915,A008800,관리
1135,20171106,A008800,
1136,20180323,A008800,관리
1137,19991228,A008810,
1138,19991228,A008830,
1139,20190417,A008830,관리
1140,20190527,A008830,
1141,19991228,A008860,
1142,19991228,A008870,
1143,19991228,A008890,
1144,19991228,A008900,
1145,20000104,A008900,관리
1146,20021122,A008900,
1147,20140314,A008900,관리
1148,20150323,A008900,
1149,19991228,A008920,
1150,19991228,A008930,
1151,19991228,A008950,
1152,19991228,A008960,
1153,19991228,A008970,
1154,20000821,A008970,관리
1155,20011115,A008970,
1156,19991228,A008980,
1157,19991228,A008990,
1158,20000904,A008990,관리
1159,20010212,A008990,
1160,19991228,A009010,
1161,20000201,A009010,관리
1162,20010307,A009010,
1163,20080818,A009010,관리
1164,20090403,A009010,
1165,20090504,A009010,관리
1166,20100325,A009010,
1167,20120816,A009010,관리
1168,20130502,A009010,
1169,19991228,A009030,
1170,19991228,A009050,
1171,19991228,A009070,
1172,19991228,A009080,
